SEGREF,easting,northing
IG_H,-59135,522926
IG_K,-42574,481285
IG_L,-40872,501252
IG_M,-39167,521218
IG_N,-37458,541184
IG_P,-35745,561149
IG_Q,-22608,479586
IG_R,-20908,499549
IG_S,-19203,519511
IG_T,-17495,539473
IG_U,-15783,559434
IG_V,-2647,477887
IG_W,-947,497847
IG_X,757,517805
IG_Y,2465,537763
IG_Z,4176,557721
IH_A,17311,476189
IH_B,19010,496145
IH_C,20714,516100
IH_D,22421,536054
IH_E,24131,556008
IH_F,37265,474492
IH_G,38964,494444
IH_H,40666,514395
IH_I,42373,534346
IH_J,44083,554295
IH_K,57215,472795
IH_L,58913,492743
IH_M,60615,512691
IH_N,62321,532638
IH_P,64031,552584
IH_Q,77161,471099
IH_R,78859,491044
IH_S,80560,510987
IH_T,82266,530930
IH_U,83975,550873
IH_V,97104,469404
IH_W,98801,489344
IH_X,100502,509284
IH_Y,102206,529223
IH_Z,103915,549162
IJ_A,117043,467709
IJ_B,118739,487646
IJ_C,120439,507582
IJ_D,122143,527517
IJ_E,123851,547452
IJ_F,136978,466015
IJ_G,138674,485948
IJ_H,140373,505880
IJ_I,142077,525812
IJ_J,143784,545743
IJ_K,156909,464321
IJ_L,158604,484250
IJ_M,160303,504179
IJ_N,162006,524106
IJ_P,163713,544034
IJ_R,178531,482553
IJ_S,180229,502478
IJ_T,181932,522402
IJ_U,183707,542393
IL_K,-150926,389851
IL_L,-149240,409840
IL_M,-147551,429830
IL_N,-145857,449818
IL_P,-144159,469805
IL_Q,-130938,388167
IL_R,-129253,408153
IL_S,-127564,428138
IL_T,-125871,448123
IL_U,-124174,468106
IL_V,-110954,386484
IL_W,-109269,406466
IL_X,-107581,426447
IL_Y,-105889,446428
IL_Z,-104193,466408
IM_A,-90973,384802
IM_B,-89290,404780
IM_C,-87602,424758
IM_D,-85910,444734
IM_E,-84215,464710
IM_F,-70997,383120
IM_G,-69314,403095
IM_H,-67627,423068
IM_I,-65936,443041
IM_J,-64241,463013
IM_K,-51024,381440
IM_L,-49342,401410
IM_M,-47655,421380
IM_N,-45965,441349
IM_P,-44272,461317
IM_Q,-31055,379760
IM_R,-29373,399726
IM_S,-27688,419692
IM_T,-25999,439657
IM_U,-24305,459622
IM_V,-11090,378080
IM_W,-9409,398043
IM_X,-7724,418005
IM_Y,-6036,437967
IM_Z,-4343,457927
