"MASTER_TAXON_ID","SCIENTIFIC_NAME","ENGLISH_NAME","TAXON_RANK_ID","TAXON_RANK_NAME","SORT_ORDER","ALT_INT_NAME","CBC_CODE","FIVE_LETTER","EURING_NO"
51244,"Phasianus colchicus edzinensis","",110,"Subspecies",12150,"","","",
51245,"Phasianus colchicus alaschanicus","",110,"Subspecies",12160,"","","",
51246,"Phasianus colchicus kiangsuensis","",110,"Subspecies",12170,"","","",
51247,"Phasianus colchicus karpowi","",110,"Subspecies",12180,"","","",
51248,"Phasianus colchicus pallasi","",110,"Subspecies",12190,"","","",
51249,"Phasianus colchicus suehschanensis","",110,"Subspecies",12200,"","","",
51250,"Phasianus colchicus elegans","",110,"Subspecies",12210,"","","",
51251,"Phasianus colchicus decollatus","",110,"Subspecies",12220,"","","",
51252,"Phasianus colchicus rothschildi","",110,"Subspecies",12230,"","","",
51253,"Phasianus colchicus takatsukasae","",110,"Subspecies",12240,"","","",
51254,"Phasianus colchicus torquatus","",110,"Subspecies",12250,"","","",
51255,"Phasianus colchicus formosanus","",110,"Subspecies",12260,"","","",
51256,"Phasianus versicolor","Green Pheasant",100,"Species",12270,"","FH","",3950
51257,"Phasianus versicolor robustipes","",110,"Subspecies",12280,"","","",
51258,"Phasianus versicolor tohkaidi","",110,"Subspecies",12290,"","","",
51259,"Phasianus versicolor tanensis","",110,"Subspecies",12300,"","","",
51260,"Phasianus versicolor versicolor","",110,"Subspecies",12310,"","","",
51261,"Chrysolophus","",80,"Genus",12320,"","","",
134,"Chrysolophus pictus","Golden Pheasant",100,"Species",12330,"","GF","GOLPH",3960
135,"Chrysolophus amherstiae","Lady Amherst's Pheasant",100,"Species",12340,"","LM","LAAPH",3970
51262,"Polyplectron","",80,"Genus",12350,"","","",
51263,"Polyplectron chalcurum","Bronze-tailed Peacock-Pheasant",100,"Species",12360,"","","",
51264,"Polyplectron chalcurum scutulatum","",110,"Subspecies",12370,"","","",
51265,"Polyplectron chalcurum chalcurum","",110,"Subspecies",12380,"","","",
51266,"Polyplectron inopinatum","Mountain Peacock-Pheasant",100,"Species",12390,"","","",
51267,"Polyplectron germaini","Germain's Peacock-Pheasant",100,"Species",12400,"","","",
51268,"Polyplectron bicalcaratum","Grey Peacock-Pheasant",100,"Species",12410,"","","",
51272,"Polyplectron katsumatae","Hainan Peacock-Pheasant",100,"Species",12420,"","","",
51273,"Polyplectron malacense","Malayan Peacock-Pheasant",100,"Species",12430,"","","",
51274,"Polyplectron schleiermacheri","Bornean Peacock-Pheasant",100,"Species",12440,"","","",
51275,"Polyplectron napoleonis","Palawan Peacock-Pheasant",100,"Species",12450,"","","",
51276,"Rheinardia","",80,"Genus",12460,"","","",
51277,"Rheinardia ocellata","Crested Argus",100,"Species",12470,"","","",
51278,"Rheinardia ocellata ocellata","",110,"Subspecies",12480,"","","",
51279,"Rheinardia ocellata nigrescens","",110,"Subspecies",12490,"","","",
