MASTER_TAXON_ID,ALTERNATIVE_SCI_NAME,CURRENT_SCI_NAME,SORT_ORDER_IOC
54318,Procelsterna cerulea,Anous ceruleus,44740
54324,Procelsterna albivitta,Anous albivittus,44800
54339,Rhynchops flavirostris,Rynchops flavirostris,44950
233,Larus genei,Chroicocephalus genei,45090
231,Larus philadelphia,Chroicocephalus philadelphia,45100
54351,Larus novaehollandiae,Chroicocephalus novaehollandiae,45110
54355,Larus bulleri,Chroicocephalus bulleri,45150
54356,Larus serranus,Chroicocephalus serranus,45160
54357,Larus brunnicephalus,Chroicocephalus brunnicephalus,45170
54358,Larus maculipennis,Chroicocephalus maculipennis,45180
232,Larus ridibundus,Chroicocephalus ridibundus,45190
1043,Larus cirrocephalus,Chroicocephalus cirrocephalus,45200
54361,Larus hartlaubii,Chroicocephalus hartlaubii,45230
54362,Larus saundersi,Chroicocephalus saundersi,45240
229,Larus minutus,Hydrocoloeus minutus,45270
241,Hydrocoloeus roseus,Rhodostethia rosea,45290
54367,Larus fuliginosus,Leucophaeus fuliginosus,45320
227,Larus atricilla,Leucophaeus atricilla,45330
228,Larus pipixcan,Leucophaeus pipixcan,45360
54370,Larus modestus,Leucophaeus modestus,45370
54372,Larus relictus,Ichthyaetus relictus,45390
1423,Larus audouinii,Ichthyaetus audouinii,45400
226,Larus melanocephalus,Ichthyaetus melanocephalus,45410
225,Larus ichthyaetus,Ichthyaetus ichthyaetus,45420
54373,Larus leucophthalmus,Ichthyaetus leucophthalmus,45430
1042,Larus hemprichii,Ichthyaetus hemprichii,45440
244,Sterna nilotica,Gelochelidon nilotica,46170
245,Hydropogne caspia,Hydroprogne caspia,46250
245,Sterna caspia,Hydroprogne caspia,46250
246,Sterna maxima,Thalasseus maximus,46270
54430,Sterna bergii,Thalasseus bergii,46300
247,Sterna bengalensis,Thalasseus bengalensis,46350
54439,Sterna bernsteini,Thalasseus bernsteini,46390
248,Sterna sandvicensis,Thalasseus sandvicensis,46400
1732,Sterna acuflavida,Thalasseus acuflavidus,46420
1044,Sterna elegans,Thalasseus elegans,46450
256,Sterna albifrons,Sternula albifrons,46470
54446,Sterna saundersi,Sternula saundersi,46520
54447,Sterna antillarum,Sternula antillarum,46530
54451,Sterna superciliaris,Sternula superciliaris,46570
54452,Sterna lorata,Sternula lorata,46580
54453,Sterna nereis,Sternula nereis,46590
54457,Sterna balaenarum,Sternula balaenarum,46630
252,Sterna aleutica,Onychoprion aleuticus,46650
54459,Sterna lunata,Onychoprion lunatus,46660
254,Sterna anaethetus,Onychoprion anaethetus,46670
255,Onychoprion fuscata,Onychoprion fuscatus,46720
255,Sterna fuscata,Onychoprion fuscatus,46720
1045,Sterna represa,Sterna repressa,46980
54500,Sterna albostriata,Chlidonias albostriatus,47150
224,Catharacta skua,Stercorarius skua,47380
54691,Aplopelia larvata,Columba larvata,49350
54754,Nesoenas picturata,Nesoenas picturatus,49980
54760,Alectroenas rodericana,Nesoenas rodericanus,50040
54760,Nesoenas rodericana,Nesoenas rodericanus,50040
100002,Streptopelia risoria,Streptopelia roseogrisea,50280
54805,Stigmatopelia chinensis,Spilopelia chinensis,50530
54805,Streptopelia chinensis,Spilopelia chinensis,50530
1048,Stigmatopelia senegalensis,Spilopelia senegalensis,50590
1048,Streptopelia senegalensis,Spilopelia senegalensis,50590
54875,Reinwardtoena reinwardtii,Reinwardtoena reinwardti,51270
54925,Geophaps lophotes,Ocyphaps lophotes,51780
55115,Geotrygon veraguensis,Leptotrygon veraguensis,52930
55099,Leptotila cassini,Leptotila cassinii,53300
55107,Geotrygon carrikeri,Zentrygon carrikeri,53370
55108,Geotrygon costaricensis,Zentrygon costaricensis,53380
55106,Geotrygon lawrencii,Zentrygon lawrencii,53390
55120,Geotrygon albifacies,Zentrygon albifacies,53400
55123,Geotrygon frenata,Zentrygon frenata,53410
55122,Geotrygon linearis,Zentrygon linearis,53460
55121,Geotrygon chiriquensis,Zentrygon chiriquensis,53490
55109,Geotrygon goldmani,Zentrygon goldmani,53500
55165,Gallicolumba hoedtii,Alopecoenas hoedtii,54130
55166,Gallicolumba jobiensis,Alopecoenas jobiensis,54140
55169,Gallicolumba kubaryi,Alopecoenas kubaryi,54170
55170,Gallicolumba erythroptera,Alopecoenas erythropterus,54180
55173,Gallicolumba xanthonura,Alopecoenas xanthonurus,54210
55187,Gallicolumba norfolciensis,Alopecoenas norfolkensis,54220
55174,Gallicolumba stairi,Alopecoenas stairi,54230
55175,Gallicolumba sanctaecrucis,Alopecoenas sanctaecrucis,54240
55176,Gallicolumba ferruginea,Alopecoenas ferrugineus,54250
55177,Gallicolumba salamonis,Alopecoenas salamonis,54260
55178,Gallicolumba rubescens,Alopecoenas rubescens,54270
55179,Gallicolumba beccarii,Alopecoenas beccarii,54280
55186,Gallicolumba canifrons,Alopecoenas canifrons,54360
55284,Treron calva,Treron calvus,55310
55409,Ptilinopus greyii,Ptilinopus greyi,56540
55469,Ptilinopus naina,Ptilinopus nainus,57110
55469,Ptilinopus nanus,Ptilinopus nainus,57110
55481,Alectroenas nitidissima,Alectroenas nitidissimus,57210
55486,Alectroenas pulcherrima,Alectroenas pulcherrimus,57260
56646,Tauraco schuetti,Tauraco schuettii,58510
56732,Centropus chlororhynchus,Centropus chlororhynchos,59360
56798,Carpococcyx radiatus,Carpococcyx radiceus,60040
56819,Phaenicophaeus chlorophaeus,Rhinortha chlorophaea,60250
56826,Phaenicophaeus leschenaultii,Taccocua leschenaultii,60320
56831,Phaenicophaeus javanicus,Zanclostomus javanicus,60370
56835,Phaenicophaeus calyorhynchus,Rhamphococcyx calyorhynchus,60410
56857,Phaenicophaeus superciliosus,Dasylophus superciliosus,60630
56860,Phaenicophaeus cumingi,Dasylophus cumingi,60660
277,Coccyzus erythrophthalmus,Coccyzus erythropthalmus,61040
56937,Eudynamys taitensis,Urodynamis taitensis,61450
56952,Rhamphomantis megarhynchus,Chrysococcyx megarhynchus,61600
56961,Chrysococcyx meyeri,Chrysococcyx meyerii,61690
56975,Cuculus pallidus,Cacomantis pallidus,61840
56976,Caliechthrus leucolophus,Cacomantis leucolophus,61850
57010,Cacomantis heinrichi,Cacomantis aeruginosus,62180
57033,Cuculus vagans,Hierococcyx vagans,62410
57036,Cuculus varius,Hierococcyx varius,62440
57266,Otus flammeolus,Psiloscops flammeolus,64770
57344,Otus podarginus,Pyrroglaux podargina,65530
57346,Gymnoglaux lawrencii,Margarobyas lawrencii,65550
282,Bubo scandiaca,Bubo scandiacus,65610
282,Nyctea scandiaca,Bubo scandiacus,65610
57413,Ketupa blakistoni,Bubo blakistoni,66240
57593,Glaucidium nanum,Glaucidium nana,67990
57617,Glaucidium castanonotum,Glaucidium castanotum,68220
57755,Ninox spilonota,Ninox spilonotus,69530
57912,Eurostopodus temminckii,Lyncornis temminckii,71090
57913,Eurostopodus macrotis,Lyncornis macrotis,71100
57920,Caprimulgus enarratus,Gactornis enarratus,71170
57972,Caprimulgus nigrescens,Nyctipolus nigrescens,71670
57973,Caprimulgus hirundinaceus,Nyctipolus hirundinaceus,71680
57986,Caprimulgus anthonyi,Nyctidromus anthonyi,71800
57988,Caprimulgus heterurus,Setopagis heterura,71820
57988,Setopagis heterurus,Setopagis heterura,71820
57989,Caprimulgus parvulus,Setopagis parvula,71830
57989,Setopagis parvulus,Setopagis parvula,71830
57990,Caprimulgus whitelyi,Setopagis whitelyi,71840
57991,Caprimulgus maculosus,Setopagis maculosa,71850
57991,Setopagis maculosus,Setopagis maculosa,71850
57996,Caprimulgus longirostris,Systellura longirostris,71900
58015,Caprimulgus cayennensis,Hydropsalis cayennensis,72090
58022,Caprimulgus maculicaudus,Hydropsalis maculicaudus,72160
58057,Caprimulgus carolinensis,Antrostomus carolinensis,72510
58058,Caprimulgus rufus,Antrostomus rufus,72520
58064,Caprimulgus cubanensis,Antrostomus cubanensis,72570
58067,Caprimulgus ekmani,Antrostomus ekmani,72600
58068,Caprimulgus salvini,Antrostomus salvini,72610
58069,Caprimulgus badius,Antrostomus badius,72620
58070,Caprimulgus sericocaudatus,Antrostomus sericocaudatus,72630
58073,Caprimulgus ridgwayi,Antrostomus ridgwayi,72660
58076,Caprimulgus vociferus,Antrostomus vociferus,72690
