"MASTER_TAXON_ID","ALTERNATIVE_SCI_NAME","ALTERNATIVE_RANK_ID","ALTERNATIVE_RANK_NAME","CURRENT_SCI_NAME","CURRENT_RANK_ID","CURRENT_RANK_NAME","SORT_ORDER_IOC","NUMBER_OF_LISTS"
472,"Carduelis spinus",100,"Species","Spinus spinus",100,"Species",306650,6
80326,"Carduelis dominicensis",100,"Species","Spinus dominicensis",100,"Species",306660,1
80327,"Carduelis pinus",100,"Species","Spinus pinus",100,"Species",306670,1
80329,"Spinus pinus macroptera",110,"Subspecies","Spinus pinus macropterus",110,"Subspecies",306690,1
80330,"Spinus pinus perplexa",110,"Subspecies","Spinus pinus perplexus",110,"Subspecies",306700,1
80331,"Carduelis atriceps",100,"Species","Spinus atriceps",100,"Species",306710,1
80332,"Carduelis notata",100,"Species","Spinus notatus",100,"Species",306720,1
80332,"Spinus notata",100,"Species","Spinus notatus",100,"Species",306720,1
80333,"Spinus notata notata",110,"Subspecies","Spinus notatus notatus",110,"Subspecies",306730,1
80334,"Spinus notata forreri",110,"Subspecies","Spinus notatus forreri",110,"Subspecies",306740,1
80335,"Spinus notata oleacea",110,"Subspecies","Spinus notatus oleaceus",110,"Subspecies",306750,1
80336,"Carduelis barbata",100,"Species","Spinus barbatus",100,"Species",306760,1
80336,"Spinus barbata",100,"Species","Spinus barbatus",100,"Species",306760,1
80337,"Carduelis xanthogastra",100,"Species","Spinus xanthogastrus",100,"Species",306770,1
80337,"Spinus xanthogastra",100,"Species","Spinus xanthogastrus",100,"Species",306770,1
80338,"Spinus xanthogastra xanthogastra",110,"Subspecies","Spinus xanthogastrus xanthogastrus",110,"Subspecies",306780,1
80339,"Spinus xanthogastra stejnegeri",110,"Subspecies","Spinus xanthogastrus stejnegeri",110,"Subspecies",306790,1
80340,"Carduelis olivacea",100,"Species","Spinus olivaceus",100,"Species",306800,1
80340,"Spinus olivacea",100,"Species","Spinus olivaceus",100,"Species",306800,1
80341,"Carduelis magellanica",100,"Species","Spinus magellanicus",100,"Species",306810,1
80341,"Spinus magellanica",100,"Species","Spinus magellanicus",100,"Species",306810,1
80342,"Spinus magellanica capitalis",110,"Subspecies","Spinus magellanicus capitalis",110,"Subspecies",306820,1
80343,"Spinus magellanica paula",110,"Subspecies","Spinus magellanicus paulus",110,"Subspecies",306830,1
80344,"Spinus magellanica peruana",110,"Subspecies","Spinus magellanicus peruanus",110,"Subspecies",306840,1
80345,"Spinus magellanica urubambensis",110,"Subspecies","Spinus magellanicus urubambensis",110,"Subspecies",306850,1
80346,"Spinus magellanica santaecrucis",110,"Subspecies","Spinus magellanicus santaecrucis",110,"Subspecies",306860,1
80347,"Spinus magellanica boliviana",110,"Subspecies","Spinus magellanicus bolivianus",110,"Subspecies",306870,1
