tenkm,area
IM57,100.39
IM58,100.39
IM59,100.39
IM60,100.39
IM61,100.38
IM62,100.38
IM63,100.38
IM64,100.38
IM65,100.38
IM66,100.37
IM67,100.37
IM68,100.37
IM69,100.37
IM70,100.37
IM71,100.36
IM72,100.36
IM73,100.36
IM74,100.36
IM75,100.36
IM76,100.36
IM77,100.35
IM78,100.35
IM79,100.35
IM80,100.35
IM81,100.34
IM82,100.34
IM83,100.34
IM84,100.34
IM85,100.34
IM86,100.34
IM87,100.33
IM88,100.33
IM89,100.33
IM90,100.33
IM91,100.32
IM92,100.32
IM93,100.32
IM94,100.32
IM95,100.32
IM96,100.32
IM97,100.31
IM98,100.31
IM99,100.31
IN00,100.31
IN01,100.3
IN02,100.3
IN03,100.3
IN04,100.3
IN05,100.3
IN06,100.3
IN07,100.3
IN08,100.29
IN09,100.29
IN10,100.29
IN11,100.29
IN12,100.28
IN13,100.28
IN14,100.28
IN15,100.28
IN16,100.28
IN17,100.28
IN18,100.27
IN19,100.27
IN20,100.27
IN21,100.27
IN22,100.26
IN23,100.26
IN24,100.26
IN25,100.26
IN26,100.26
IN27,100.26
IN28,100.25
IN29,100.25
IN30,100.25
IN31,100.25
IN32,100.24
IN33,100.24
IN34,100.24
IN35,100.24
IN36,100.24
IN37,100.24
IN38,100.24
IN39,100.23
IN40,100.23
IN41,100.23
IN42,100.22
IN43,100.22
IN44,100.22
IN45,100.22
IN46,100.22
IN47,100.22
IN48,100.22
IN49,100.21
IN50,100.21
IN51,100.21
IN52,100.21
IN53,100.2
IN54,100.2
IN55,100.2
IN56,100.2
IN57,100.2
IN58,100.2
IN59,100.2
IN60,100.19
IN61,100.19
IN62,100.19
IN63,100.18
IN64,100.18
IN65,100.18
IN66,100.18
IN67,100.18
IN68,100.18
IN69,100.18
IN70,100.17
IN71,100.17
IN72,100.17
IN73,100.16
IN74,100.16
IN75,100.16
IN76,100.16
IN77,100.16
IN78,100.16
IN79,100.16
IN80,100.15
IN81,100.15
IN82,100.15
IN83,100.14
