tenkm,easting,northing
ID24,143516.1999,600980.3285
ID25,144376.4186,610945.41
ID30,150049.8243,560262.6885
ID31,150906.1933,570227.3753
ID32,151763.4946,580191.9292
ID33,152621.7261,590156.3506
ID34,153480.8857,600120.6395
ID40,160014.1104,559406.8529
ID41,160870.3475,569370.6062
ID42,161727.5171,579334.2288
ID50,169977.4618,558551.1483
ID51,170833.5691,568513.9679
ID52,171690.6091,578476.6589
ID60,179939.8783,557695.5725
ID61,180795.8579,567657.4581
IF20,-167869.2437,486923.894
IF21,-167017.1113,496919.4211
IF22,-166164.0309,506914.7475
IF23,-165310.0046,516909.8732
IF30,-157874.0913,486072.3368
IF31,-157022.1586,496066.9148
IF32,-156169.2778,506061.2941
IF33,-155315.451,516055.4749
IF40,-147879.8891,485220.9784
IF41,-147028.1541,495214.607
IF42,-146175.4708,505208.0392
IF43,-145321.8414,515201.275
IF44,-144467.2679,525194.3146
IF45,-143611.7526,535187.1582
IF46,-142755.2975,545179.8059
IF50,-137886.6375,484369.8166
IF51,-137035.098,494362.4958
IF52,-136182.61,504354.9806
IF53,-135329.1757,514347.2712
IF54,-134474.7973,524339.3678
IF55,-133619.4768,534331.2706
IF56,-132763.2165,544322.9796
IF60,-127894.3364,483518.8493
IF61,-127042.9902,493510.5788
IF62,-126190.6955,503502.1162
IF63,-125337.4542,513493.4615
IF64,-124483.2687,523484.615
IF65,-123628.1409,533475.5767
IF66,-122772.0732,543466.3468
IF70,-117902.9861,482668.0743
IF71,-117051.8311,492658.8541
IF72,-116199.7274,502649.4439
IF73,-115346.677,512639.8437
IF74,-114492.6822,522630.0538
IF75,-113637.7451,532620.0744
IF76,-112781.8678,542609.9054
IF77,-111925.0524,552599.5473
IF80,-107912.5866,481817.4895
IF81,-107061.6207,491807.3194
IF82,-106209.7059,501796.9614
IF83,-105356.8443,511786.4157
IF84,-104503.0381,521775.6823
IF85,-103648.2894,531764.7615
IF86,-102792.6004,541753.6534
IF87,-101935.9731,551742.3582
IF88,-101078.4098,561730.876
IF89,-100219.9126,571719.207
IF90,-97923.13824,480967.0928
IF91,-97072.35928,490955.9727
IF92,-96220.63124,500944.6668
IF93,-95367.95628,510933.1752
IF94,-94514.33652,520921.4982
IF95,-93659.77411,530909.6359
IF96,-92804.2712,540897.5884
IF97,-91947.82991,550885.356
IF98,-91090.45242,560872.9388
IF99,-90232.14086,570860.3369
IG00,-87934.64106,480116.8821
IG01,-87084.04689,490104.8117
