"MASTER_TAXON_ID","SCIENTIFIC_NAME","ENGLISH_NAME","TAXON_RANK_ID","TAXON_RANK_NAME","SORT_ORDER","ALT_INT_NAME","CBC_CODE"
82689,"Phrygilus","",80,"Genus",330020,"",""
82690,"Phrygilus atriceps","Black-hooded Sierra Finch",100,"Species",330030,"",""
82691,"Phrygilus punensis","Peruvian Sierra Finch",100,"Species",330040,"",""
82692,"Phrygilus punensis chloronotus","",110,"Subspecies",330050,"",""
82693,"Phrygilus punensis punensis","",110,"Subspecies",330060,"",""
82694,"Phrygilus gayi","Grey-hooded Sierra Finch",100,"Species",330070,"",""
82695,"Phrygilus gayi gayi","",110,"Subspecies",330080,"",""
82696,"Phrygilus gayi minor","",110,"Subspecies",330090,"",""
82697,"Phrygilus gayi caniceps","",110,"Subspecies",330100,"",""
82698,"Phrygilus patagonicus","Patagonian Sierra Finch",100,"Species",330110,"",""
82699,"Phrygilus fruticeti","Mourning Sierra Finch",100,"Species",330120,"",""
82700,"Phrygilus fruticeti peruvianus","",110,"Subspecies",330130,"",""
82701,"Phrygilus fruticeti coracinus","",110,"Subspecies",330140,"",""
82702,"Phrygilus fruticeti fruticeti","",110,"Subspecies",330150,"",""
82703,"Phrygilus unicolor","Plumbeous Sierra Finch",100,"Species",330160,"",""
82704,"Phrygilus unicolor nivarius","",110,"Subspecies",330170,"",""
82705,"Phrygilus unicolor geospizopsis","",110,"Subspecies",330180,"",""
82706,"Phrygilus unicolor inca","",110,"Subspecies",330190,"",""
82707,"Phrygilus unicolor unicolor","",110,"Subspecies",330200,"",""
82708,"Phrygilus unicolor tucumanus","",110,"Subspecies",330210,"",""
82709,"Phrygilus unicolor cyaneus","",110,"Subspecies",330220,"",""
82710,"Phrygilus unicolor ultimus","",110,"Subspecies",330230,"",""
82711,"Phrygilus dorsalis","Red-backed Sierra Finch",100,"Species",330240,"",""
82712,"Phrygilus erythronotus","White-throated Sierra Finch",100,"Species",330250,"",""
82713,"Phrygilus plebejus","Ash-breasted Sierra Finch",100,"Species",330260,"",""
82714,"Phrygilus plebejus ocularis","",110,"Subspecies",330270,"",""
82715,"Phrygilus plebejus plebejus","",110,"Subspecies",330280,"",""
82716,"Phrygilus plebejus naroskyi","",110,"Subspecies",330290,"",""
82717,"Phrygilus carbonarius","Carbonated Sierra Finch",100,"Species",330300,"",""
82718,"Phrygilus alaudinus","Band-tailed Sierra Finch",100,"Species",330310,"",""
82719,"Phrygilus alaudinus bipartitus","",110,"Subspecies",330320,"",""
82720,"Phrygilus alaudinus humboldti","",110,"Subspecies",330330,"",""
82721,"Phrygilus alaudinus bracki","",110,"Subspecies",330340,"",""
82722,"Phrygilus alaudinus excelsus","",110,"Subspecies",330350,"",""
82723,"Phrygilus alaudinus alaudinus","",110,"Subspecies",330360,"",""
82724,"Phrygilus alaudinus venturii","",110,"Subspecies",330370,"",""
82725,"Melanodera","",80,"Genus",330380,"",""
82726,"Melanodera melanodera","White-bridled Finch",100,"Species",330390,"",""
82727,"Melanodera melanodera princetoniana","",110,"Subspecies",330400,"",""
82728,"Melanodera melanodera melanodera","",110,"Subspecies",330410,"",""
82729,"Melanodera xanthogramma","Yellow-bridled Finch",100,"Species",330420,"",""
82730,"Melanodera xanthogramma barrosi","",110,"Subspecies",330430,"",""
82731,"Melanodera xanthogramma xanthogramma","",110,"Subspecies",330440,"",""
82732,"Haplospiza","",80,"Genus",330450,"",""
82733,"Haplospiza rustica","Slaty Finch",100,"Species",330460,"",""
82734,"Haplospiza rustica uniformis","",110,"Subspecies",330470,"",""
82735,"Haplospiza rustica arcana","",110,"Subspecies",330480,"",""
82736,"Haplospiza rustica rustica","",110,"Subspecies",330490,"",""
82737,"Haplospiza unicolor","Uniform Finch",100,"Species",330500,"",""
82738,"Acanthidops","",80,"Genus",330510,"",""
82739,"Acanthidops bairdi","Peg-billed Finch",100,"Species",330520,"",""
82740,"Lophospingus","",80,"Genus",330530,"",""
82741,"Lophospingus pusillus","Black-crested Finch",100,"Species",330540,"",""
82742,"Lophospingus griseocristatus","Grey-crested Finch",100,"Species",330550,"",""
82743,"Donacospiza","",80,"Genus",330560,"",""
82744,"Donacospiza albifrons","Long-tailed Reed Finch",100,"Species",330570,"",""
82745,"Rowettia","",80,"Genus",330580,"",""
82746,"Rowettia goughensis","Gough Finch",100,"Species",330590,"",""
82747,"Nesospiza","",80,"Genus",330600,"",""
82748,"Nesospiza acunhae","Inaccessible Island Finch",100,"Species",330610,"",""
82749,"Nesospiza acunhae acunhae","",110,"Subspecies",330620,"",""
82750,"Nesospiza acunhae dunnei","",110,"Subspecies",330630,"",""
82751,"Nesospiza acunhae fraseri","",110,"Subspecies",330640,"",""
82752,"Nesospiza questi","Nightingale Island Finch",100,"Species",330650,"",""
82753,"Nesospiza wilkinsi","Wilkins's Finch",100,"Species",330660,"",""
82754,"Diuca","",80,"Genus",330670,"",""
82755,"Diuca speculifera","White-winged Diuca Finch",100,"Species",330680,"",""
82756,"Diuca speculifera magnirostris","",110,"Subspecies",330690,"",""
82757,"Diuca speculifera speculifera","",110,"Subspecies",330700,"",""
82758,"Diuca diuca","Common Diuca Finch",100,"Species",330710,"",""
82759,"Diuca diuca crassirostris","",110,"Subspecies",330720,"",""
82760,"Diuca diuca diuca","",110,"Subspecies",330730,"",""
